canonical	name	version	type	description	links	publication	download	inst_instr	test	src	os	input_	output	dependencies	documentation	license	termsUse	contribPolicy	authors	repository
targetedretrieval	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
htssip	2	1	2	2	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0
protein_disorder_predictors	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
t-lex	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
csm-lig	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
pathostat	5	5	5	5	3	4	5	3	0	2	3	0	0	1	3	5	0	0	3	1
biojs-vis-circularnet	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
slink	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
survcomp	6	6	6	6	4	3	6	3	0	3	3	0	0	1	3	6	0	0	3	1
keeseek	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
gcview	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tag-db	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
pyviko	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
mempype	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
ngscheckmate	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
multi-q	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gs3	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gbrowse	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
hlarestrictor	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0
rna_movies	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
brownian_motion_simulator	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
treesim	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
biforce_toolbox	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metap	2	2	2	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0
network_motif_clustering_toolbox	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
ensembldb3	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
mascotdatfile	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0
lol	5	5	5	5	2	4	5	3	0	2	3	0	0	1	3	5	0	0	3	1
sadic	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
biojs-stat-seqs	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0
ocsestdb	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0
snps_go	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
cpgplot	2	2	2	2	0	1	1	1	0	0	1	1	2	1	2	1	0	0	1	1
hapi-ur	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
oscope	6	6	6	6	3	4	6	3	0	3	3	0	0	1	3	6	0	0	3	1
needle	2	2	2	2	0	1	1	1	1	0	1	2	2	1	2	1	0	0	1	1
treerefiner	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
mirz	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
camera	9	9	9	9	7	3	9	3	0	6	3	0	0	1	3	9	0	0	3	1
bamm	2	2	2	2	1	1	1	0	0	1	0	0	0	0	1	2	0	0	0	1
marrvel	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
sparsedossa	2	2	2	2	0	1	2	2	0	1	2	0	0	1	2	2	0	0	2	1
protonet	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
tsema	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
umis	8	7	8	8	7	1	8	0	0	7	0	1	1	0	0	8	0	0	1	0
mbinfo	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
qiime	3	3	3	3	2	1	2	0	0	2	1	0	0	0	1	2	0	0	1	0
mirtarvis	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
edia	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0
lasv	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
trnascanimport	2	2	2	2	0	1	2	2	0	1	2	0	0	1	2	2	0	0	2	1
rhvdm	3	3	3	3	0	3	3	3	0	0	3	0	0	1	3	3	0	0	3	1
molgenis-impute	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
emdatabank.org	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
pagit	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
argot_2.5	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
experimenthub	5	5	5	5	2	3	5	3	0	2	3	0	0	1	3	5	0	0	3	1
maxsnippetmodel	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
tabhu	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
beast	4	3	4	4	2	2	2	1	0	2	1	1	1	0	2	2	0	0	0	0
possum	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
conseq	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
azahar	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
pgca	2	2	2	2	0	2	2	2	0	1	2	0	0	1	2	2	0	0	2	1
